,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type,main_goal_feelBetter,main_goal_loseWeight,main_goal_reducePain,main_goal_stayActive,nutritional_goal_improveNutrition,nutritional_goal_increaseMuscle,nutritional_goal_loseWeight,nutritional_goal_none
11,02AFjTAuNGOrWbLXGDp3xrBkA1v1,129,1,128.0,1,129.0,61.0,1,162.0,2.0,1,3,2,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
12,02EwSnloHTZMAStpcmHiulKy8np2,158,1,157.0,1,158.0,65.0,1,154.0,2.0,1,2,2,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
13,02j8jTw7wYQYwokse0cwAC6QxVx2,4,1,3.0,1,4.0,59.0,0,171.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,02uqm7B7HPTtLHdRH6HS2sCkuUS2,31,1,30.0,1,31.0,78.0,1,173.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,02vU3xuRa9bW0dibvaziGlOZ9Fm2,28,1,27.0,1,28.0,61.0,1,158.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,03GzGEPkN0hyf8qiC3ntUquwIBE3,163,1,28.0,2,81.5,70.0,0,178.0,2.0,1,2,2,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
17,03wyGWcKmKNramJQKFT3JLB1T1n2,45,1,44.0,1,45.0,59.0,1,169.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,041KPUZb82S8LiAmRHZRQ43oAis1,359,1,358.0,1,359.0,67.0,1,151.0,2.0,1,1,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
19,04411yjzMGe0eKlmhl4ENYjqlBq1,123,1,122.0,1,123.0,59.0,1,159.0,2.0,1,2,2,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
20,04BaBnnvlNV1CciWCU2vtqWSLDG2,69,1,68.0,1,69.0,68.0,1,168.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,04em0eCOOYXFLjJOIsuZUAfKn9p1,114,0,113.0,1,114.0,68.0,1,166.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,052YJ12gQycIkf3thn7jfi311lh1,67,1,66.0,1,67.0,52.0,1,152.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,05P3Gu6melMXFrGeBBVloTfZ9rm2,172,0,171.0,1,172.0,62.0,1,170.0,2.0,1,2,2,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
24,05WNyePvItOMkg5T76U1PPjb18w2,150,1,149.0,1,150.0,51.0,1,164.0,3.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,05fuK1lvc0Z6p4xpmBq5NfQrfAT2,108,1,107.0,1,108.0,60.0,1,164.0,2.0,1,1,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
26,05gZdWRUQDRJtJrbKWhFn3cFDVo1,69,1,68.0,1,69.0,50.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,05s1JLcMidVSF5glL6kgbKoo1h12,26,1,25.0,1,26.0,51.0,1,163.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,05th3s4xQ9bSK1QIfCkMG7eaGpm1,29,1,28.0,1,29.0,80.0,1,167.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,06IO4gYPF2TJNHUyBrB5Ug7xF542,28,1,27.0,1,28.0,64.0,1,169.0,1.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,071fPYIZePPbV9VCpaQKnUJ4Onp2,53,1,52.0,1,53.0,55.0,1,166.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,07OASfiYjdePYwGcFgv065Mv3kb2,166,0,165.0,1,166.0,67.0,1,170.0,1.0,1,2,2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
32,07Z8oiNgPWTe4VqObZ4FhF5VJK03,36,1,35.0,1,36.0,51.0,1,165.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,07kCDttifNVxSurzPURkM77uu9c2,27,1,26.0,1,27.0,65.0,1,167.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,07tHMKF2R4dfwumEgHUxBzOL9B92,73,1,19.0,4,18.25,50.0,1,155.0,1.0,1,1,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
35,0830U4STBfPDth7nN2UjxOXU6682,31,1,30.0,1,31.0,61.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0842vPuyB8ULgSFKmsgqTYcqDDJ2,30,1,29.0,1,30.0,57.0,1,155.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,087tlDQzvbhmlx3bhGcvgxMM1Wh1,83,1,82.0,1,83.0,52.0,1,162.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,08MbWfwzAWbiKxNC5xonFJI1TKP2,2897,0,2896.0,1,2897.0,66.0,0,175.0,2.0,1,2,2,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
39,08NKcKhGSHWecHatDzaOH52OQ5R2,101,1,100.0,1,101.0,63.0,1,162.0,2.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,08afHUwN0JYL8cGSdWeoEcQ8J2J2,26,1,25.0,1,26.0,51.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,08dVhRucbRRfwpAmO3ubMvAU9fh1,40,1,39.0,1,40.0,54.0,1,170.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0A0AUnmANWaA4caxKF23cAgEJs52,142,1,141.0,1,142.0,73.0,1,159.0,3.0,1,1,1,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
43,0A6Ikh25LJTFHQ25YVfQ3uM91CG2,18,1,17.0,1,18.0,61.0,1,171.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0A7W1OgLomQSpeEVHOe4azISXLU2,131,1,130.0,1,131.0,75.0,1,168.0,2.0,1,1,1,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
45,0AEUeWLYKBebWYEhQBhIC5kX9Qh1,92,1,91.0,1,92.0,64.0,1,159.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0AGvcvbJdAe450az7dtIdoPHXno2,29,1,28.0,1,29.0,55.0,1,161.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0ArpZciIU0Mp0ppO3lhzn0f9S1H2,118,1,117.0,1,118.0,60.0,1,172.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0B2ITyLEp9NyAkIfsCz90exCaRL2,27,1,26.0,1,27.0,55.0,1,164.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0BHPaYKVl6ZwEsOB8TitHhRPjX52,194,0,193.0,1,194.0,65.0,1,157.0,2.0,1,2,2,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
50,0BOXEi7wIPVwN6I4SAusOmQxFum2,55,1,54.0,1,55.0,60.0,1,155.0,2.0,1,2,2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
51,0BRE27rVRkMXwn1dEjuSXptjom92,27,1,26.0,1,27.0,64.0,1,167.0,1.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0BXgvrS8TAcqIx5J3RS3DXipm513,181,1,110.0,3,60.333333333333336,57.0,0,173.0,1.0,1,1,1,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
53,0BuVirtTmHNwfifOCyV9hNPir0p1,28,1,27.0,1,28.0,61.0,1,159.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0CEDnEmph6QkSnxp6GiaTCwU5e83,206,0,50.0,6,34.333333333333336,53.0,1,158.0,1.0,1,2,2,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
55,0CMKPDjySYh5dMeGZaqA8fRUWLK2,35,1,34.0,1,35.0,78.0,1,165.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0CYLZfIUZJZfEpbdu1ye2ukbPXH3,91,1,90.0,1,91.0,60.0,1,170.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0CcUQ4g54KT11nwDOJP7Gl2kPSI2,62,1,19.0,3,20.666666666666668,61.0,0,172.0,2.0,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
58,0CdgEJpC8leokqcJwUNBO1Xl2wg1,27,1,26.0,1,27.0,78.0,1,163.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0CpsKiTrSbW7T6RD2LDF1E1URSw1,97,1,96.0,1,97.0,60.0,0,170.0,1.0,1,1,1,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
60,0CqnKLPLmyWiO1Sftht8WgMq2ok1,920,0,919.0,1,920.0,75.0,0,172.0,2.0,1,2,2,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
61,0DEpzxqpShWQDqMEDZtAUgwc9ne2,110,1,109.0,1,110.0,65.0,1,164.0,1.0,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
62,0DuUy4jJkjf9iprI4cqi1KoixYv1,110,0,6.0,2,55.0,60.0,1,162.0,3.0,1,2,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
63,0EZufeRkXmUCpMViVa5ueQGxIN03,100,1,99.0,1,100.0,68.0,1,162.0,2.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0EqSU18VxIYmiDqfCsLFyGShISW2,90,1,89.0,1,90.0,64.0,1,163.0,2.0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
65,0EsfsOwoejMqkev2PGSPrnzQ55Y2,50,1,9.0,4,12.5,54.0,1,158.0,1.0,1,1,1,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
66,0ExAHCz0GqOhmNfbiD20JIX1F283,52,1,51.0,1,52.0,57.0,1,165.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0FXO2YGYh2gzS7NtwnBoD37QJTg2,137,1,136.0,1,137.0,61.0,1,163.0,2.0,1,2,2,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
68,0FfwUhabVafHHpBq4ZJcUrhnXx72,28,1,27.0,1,28.0,66.0,1,157.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0FuLxf53kqMYEF6x3saPCpu00tx1,34,1,33.0,1,34.0,52.0,1,155.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0FvL6AEzpPYL60iV6b7GMV9J4RX2,115,0,114.0,1,115.0,61.0,1,172.0,2.0,1,2,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
71,0G3Orz4HztVhbcLPk7ZnVTTsWt13,76,1,75.0,1,76.0,66.0,1,170.0,2.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0G4XPMxWqjW3tzqRveV9Hh1XBYy2,94,1,93.0,1,94.0,62.0,1,167.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0G8wcyQ8kPgbG91kDbiWdxdzM7S2,30,1,29.0,1,30.0,62.0,1,171.0,1.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0GAZmLOVliWjSyf9xtuWYBPWmlu1,159,0,158.0,1,159.0,63.0,1,163.0,1.0,1,3,2,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
75,0GBGExfX2jc8nwKWNPGNAXnGIPj2,55,1,54.0,1,55.0,67.0,1,159.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0GQ51kcIQMeG8ODcvuODDasrIBv2,26,1,25.0,1,26.0,54.0,1,168.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0GS1talcbARgbItDmsvjCbuNvjD2,113,1,112.0,1,113.0,66.0,1,149.0,2.0,1,1,1,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
78,0GSPzFY7QONFfFh1CiSChHt7p1y1,122,1,121.0,1,122.0,63.0,1,173.0,2.0,1,2,2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
79,0GtlB34jG4PrNvdVHSwesSM3jq22,131,1,122.0,2,65.5,63.0,1,164.0,1.0,1,2,2,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
80,0H3uMrtlRaPJttQJBCsI92dRlkg2,401,0,23.0,2,200.5,68.0,0,172.0,1.0,1,2,2,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
81,0HEy9v2U91MpCLz0M5igOIsxHPk2,110,1,109.0,1,110.0,60.0,1,145.0,2.0,1,2,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82,0I6dFefws0aR2QCKyuk01cF69IZ2,35,1,34.0,1,35.0,59.0,1,170.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0IEnrP2YSYWtxiH75z7W28KXv8Z2,138,0,137.0,1,138.0,60.0,0,176.0,2.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0IIXfCYwDfUKBr3JyxmgBSYQ7If2,165,0,164.0,1,165.0,62.0,1,124.0,2.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0INNWTTEiqQGjMDb8B4LR6lZDb83,120,1,119.0,1,120.0,60.0,1,157.0,2.0,2,1,1,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
86,0IPVPrfKikhO38NRUcfkj4xbXLr1,118,0,19.0,3,39.333333333333336,61.0,1,161.0,2.0,1,2,2,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
87,0In5aqciYGTG5jyyPvCCx7HeGK82,190,0,189.0,1,190.0,79.0,1,155.0,2.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0J4LFoKDbmRY8hA1vOfefgGv7jD2,47,0,6.0,6,7.833333333333333,62.0,1,159.0,1.0,1,1,1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
89,0JEfWmzUgsTxqBwNVy706NBEPsh2,106,1,105.0,1,106.0,59.0,1,162.0,2.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0JRlQgPmWuUtvkiDFvfHG1IdfGu2,84,1,83.0,1,84.0,61.0,1,169.0,2.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0JXR7f6grXdoy49RwpMXH7cTySi2,22,1,21.0,1,22.0,54.0,0,174.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0JjkTvwd8Ohz9HbAl11atXyHKPX2,139,0,138.0,1,139.0,60.0,1,170.0,2.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0JsFCFJcSJMg06cj6Wwr3bJY0iI2,1427,0,65.0,6,237.8333333333333,73.0,1,162.0,1.0,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
94,0JtrOasMa2NWb7hdPwHIgiSEBK12,134,1,133.0,1,134.0,64.0,1,152.0,1.0,1,2,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
95,0Jyvry5rDOeNBshWdzlkQO7yLsh1,129,0,128.0,1,129.0,64.0,1,160.0,1.0,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
96,0KGU4je4poP0lSRlWRqk4BJ6g7l1,191,0,189.0,1,191.0,65.0,1,162.0,2.0,1,3,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
97,0KP25Hll7DbW4lyC1pQ4CUuj3b33,172,1,171.0,1,172.0,75.0,1,170.0,2.0,1,1,1,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
98,0Kd3abaYnJfjdP5eHKjDBHYUdO62,118,1,117.0,1,118.0,66.0,1,170.0,1.0,1,1,1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
99,0KfylI5oi2cxKSJjdla6n7SLWtI2,171,0,170.0,1,171.0,61.0,1,162.0,2.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0Kg7kzhW3PWLWR0jkX0xBKcRyIi2,247,1,11.0,4,61.75,63.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0Kn3VpUoUMY82feRBwy3weGjHom1,136,1,135.0,1,136.0,50.0,1,160.0,2.0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,0KnY18K0JifQxJmsJjG4j0RQAYm2,128,1,127.0,1,128.0,72.0,1,159.0,2.0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,0Ks35Sc9nnQMj80L2BjbfcKZsiw1,57,1,56.0,1,57.0,63.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0Kxa78qTXqNYWE5D99UEwAdvjEj1,119,0,118.0,1,119.0,68.0,1,165.0,2.0,1,2,2,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
105,0L5DkHlHoNgeRHyyqe7JT9I8XVt1,49,1,48.0,1,49.0,52.0,1,162.0,2.0,1,1,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
106,0LQoAdJEXHcrPU2BWuW6CDPKK8n2,44,1,43.0,1,44.0,52.0,1,167.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0Lxw38ebCvSG2lD7pTpNEPptgfy1,26,1,25.0,1,26.0,59.0,0,169.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0LzHYqZokhT1ryNSXAewCcunsrg2,40,1,39.0,1,40.0,68.0,1,176.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0MCBNUXURdgtS4kxWVfT0GIQmB42,28,1,27.0,1,28.0,65.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0MigNZIb9UdMrog5IKBZjBv7WjA3,100,0,10.0,2,50.0,61.0,1,168.0,2.0,2,2,2,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
111,0MkL2qPDQ2MlO0VOCGFyF3pOAMw1,103,1,102.0,1,103.0,65.0,1,164.0,2.0,1,2,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
112,0Mu3wWse1oNVjDXcjJynfr9SWQi2,35,1,34.0,1,35.0,60.0,1,170.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0MzHMWkQlsfML31YSI62ALcSDUE3,44,1,43.0,1,44.0,61.0,1,172.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0NK6GLIVdQbaL3D0lfOxaWbdcTF3,103,1,102.0,1,103.0,60.0,1,150.0,2.0,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
115,0NL2m5lruyaF9w5KK4IGWjH57zk2,58,1,57.0,1,58.0,74.0,1,168.0,1.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0NMaRx0VNdOiUc02W7f2GTRlc5B3,146,0,27.0,2,73.0,63.0,1,162.0,2.0,2,1,1,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
117,0NzIOBTrgcSEfgAEyNmPjFbTiX12,43,1,42.0,1,43.0,51.0,1,166.0,3.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0OTx3b7ko8ZFhVjJVFcuAkUdUZx2,158,1,157.0,1,158.0,60.0,1,163.0,1.0,1,2,2,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
119,0OYrqUdv1iQMrjNAj5vy9dixkGK2,54,1,53.0,1,54.0,57.0,1,162.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0OoBdas1g3U6PA2GoQqyHTbWFWC3,70,1,69.0,2,35.0,69.0,1,158.0,1.0,1,2,2,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
121,0OoL8u8cxpZXpfK9gaHsHGjHXsn2,37,1,36.0,1,37.0,77.0,1,163.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0OwbfLvBTohmudTI5hWl1Rqji9A2,43,1,42.0,1,43.0,59.0,1,157.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0PXpOO9SVESNxb3l1oZ3M5UXSaY2,68,1,67.0,1,68.0,78.0,1,151.0,2.0,1,2,2,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
124,0PZhkDvcM0a5tMOhHUsnr2KJaTU2,274,0,273.0,1,274.0,65.0,1,150.0,2.0,1,2,2,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
125,0QD3WbnHtGgo1HyLW9j97zLvhiG3,28,1,27.0,1,28.0,62.0,1,166.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0QFnpngMC1UMd82AmcfVToV7eB02,28,1,27.0,1,28.0,57.0,1,166.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0QGsNa9ArbYaJjn6GbuCez6tuQh1,22,1,21.0,1,22.0,52.0,1,164.0,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0QHIKJRaHeUDrIlERoJqIdCyn9x1,115,1,114.0,1,115.0,73.0,1,160.0,2.0,1,2,2,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
129,0QSLvnId6AgL991YkjevYAJoJ6h1,96,1,95.0,1,96.0,61.0,1,168.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0R01cRohcOdsNlm8iu3TNgI802k1,37,1,36.0,1,37.0,62.0,1,159.0,3.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0R5QPeEnhvXBW9adD6zFavvGQrw1,160,0,159.0,1,160.0,61.0,1,150.0,3.0,1,2,2,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
132,0R6GeBkjAkaEIigEWOZe37GJvqD3,8,0,7.0,1,8.0,67.0,1,165.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0R71q3Ys2fccKIaz0w53UmjiBu42,26,1,25.0,1,26.0,70.0,0,174.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0REvyes3hVX1LGHZSCOigYdKcrX2,40,1,39.0,1,40.0,64.0,1,155.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0RyJ0J0bBOh1f6Iwrbqm5YHFMYm1,108,1,107.0,1,108.0,66.0,1,160.0,1.0,1,1,1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
136,0RznpuV61AWKqTtxd3XlqbccRgW2,41,1,40.0,1,41.0,61.0,1,166.0,2.0,2,2,2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
137,0SKJg7AY47axkJyVBd4bQeQM3Ga2,59,1,58.0,1,59.0,65.0,1,161.0,1.0,1,2,2,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
138,0SmetxG4r8TdXIHXs86fdw5rWf02,66,1,65.0,1,66.0,68.0,1,159.0,1.0,1,2,2,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
139,0SqU6rgmnrMm81iW4O3tlELza0d2,39,1,2.0,3,13.0,62.0,1,165.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0SqytkKv6JaFdFw15CpmvFoJHY32,103,1,102.0,1,103.0,65.0,1,170.0,2.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0T8bORKUWYgUsFSa0Q1uAN5ZFue2,284,0,283.0,1,284.0,66.0,1,160.0,1.0,1,2,2,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
142,0Th3KLRqNsSggQtT7hUo3d59vUJ3,156,1,155.0,1,156.0,60.0,1,170.0,2.0,1,2,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
